iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
DEU,Europe,Germany,16-04-2020,130450,2866,3569,315,1556.981,34.207,42.598,3.76,,,,,50371,0.601,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,17-04-2020,133830,3380,3868,299,1597.323,40.342,46.166,3.569,,,,,49386,0.589,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,18-04-2020,137439,3609,4110,242,1640.398,43.075,49.055,2.888,,,,,48400,0.578,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,19-04-2020,139897,2458,4294,184,1669.735,29.337,51.251,2.196,2082754,,24.859,,47415,0.566,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,20-04-2020,141672,1775,4404,110,1690.921,21.185,52.564,1.313,,,,,48067,0.574,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,21-04-2020,143457,1785,4598,194,1712.225,21.305,54.879,2.315,,,,,48720,0.581,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,22-04-2020,145694,2237,4879,281,1738.925,26.7,58.233,3.354,,,,,49373,0.589,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,23-04-2020,148046,2352,5094,215,1766.997,28.072,60.799,2.566,,,,,50026,0.597,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,24-04-2020,150383,2337,5321,227,1794.89,27.893,63.509,2.709,,,,,50679,0.605,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,25-04-2020,152438,2055,5500,179,1819.418,24.527,65.645,2.136,,,,,51331,0.613,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,26-04-2020,154175,1737,5640,140,1840.15,20.732,67.316,1.671,2446644,,29.202,,51984,0.62,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,27-04-2020,155193,1018,5750,110,1852.3,12.15,68.629,1.313,,,,,51227,0.611,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,28-04-2020,156337,1144,5913,163,1865.954,13.654,70.574,1.945,,,,,50470,0.602,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
